Rank,nctid,age,age_id
1373,NCT04407195,"18 Years and older  (Adult, Older Adult)",age_101
1374,NCT04439084,"18 Years and older  (Adult, Older Adult)",age_101
1375,NCT04539275,"18 Years and older  (Adult, Older Adult)",age_101
1376,NCT04726111,"18 Years and older  (Adult, Older Adult)",age_101
1377,NCT04379336,"18 Years and older  (Adult, Older Adult)",age_101
1378,NCT04405271,"18 Years and older  (Adult, Older Adult)",age_101
1379,NCT04891172,"18 Years and older  (Adult, Older Adult)",age_101
1381,NCT04872699,"18 Years and older  (Adult, Older Adult)",age_101
1383,NCT04795583,"18 Years and older  (Adult, Older Adult)",age_101
1388,NCT04724720,"18 Years and older  (Adult, Older Adult)",age_101
1390,NCT04427254,"18 Years and older  (Adult, Older Adult)",age_101
1392,NCT04542434,"18 Years and older  (Adult, Older Adult)",age_101
1394,NCT04487951,"18 Years and older  (Adult, Older Adult)",age_101
1395,NCT04924660,"18 Years and older  (Adult, Older Adult)",age_101
1396,NCT04813718,"18 Years and older  (Adult, Older Adult)",age_101
1397,NCT04830774,"18 Years and older  (Adult, Older Adult)",age_101
1399,NCT04746183,"18 Years and older  (Adult, Older Adult)",age_101
1401,NCT04678830,"18 Years and older  (Adult, Older Adult)",age_101
1402,NCT04867174,"18 Years and older  (Adult, Older Adult)",age_101
1405,NCT04907890,"18 Years and older  (Adult, Older Adult)",age_101
1407,NCT04409925,"18 Years and older  (Adult, Older Adult)",age_101
1408,NCT04682132,"18 Years and older  (Adult, Older Adult)",age_101
1409,NCT04747366,"18 Years and older  (Adult, Older Adult)",age_101
1411,NCT04366830,"18 Years and older  (Adult, Older Adult)",age_101
1412,NCT04373161,"18 Years and older  (Adult, Older Adult)",age_101
1415,NCT04345315,"18 Years and older  (Adult, Older Adult)",age_101
1417,NCT04357808,"18 Years and older  (Adult, Older Adult)",age_101
1418,NCT04499391,"18 Years and older  (Adult, Older Adult)",age_101
1419,NCT04678193,"18 Years and older  (Adult, Older Adult)",age_101
1421,NCT04395170,"18 Years and older  (Adult, Older Adult)",age_101
1424,NCT04829552,"18 Years and older  (Adult, Older Adult)",age_101
1427,NCT04842305,"18 Years and older  (Adult, Older Adult)",age_101
1429,NCT04374591,"18 Years and older  (Adult, Older Adult)",age_101
1431,NCT04359212,"18 Years and older  (Adult, Older Adult)",age_101
1432,NCT04847479,"18 Years and older  (Adult, Older Adult)",age_101
1436,NCT04522817,"18 Years and older  (Adult, Older Adult)",age_101
1437,NCT04349592,"18 Years and older  (Adult, Older Adult)",age_101
1438,NCT04422574,"18 Years and older  (Adult, Older Adult)",age_101
1439,NCT04865029,"18 Years and older  (Adult, Older Adult)",age_101
1445,NCT04339816,"18 Years and older  (Adult, Older Adult)",age_101
1447,NCT04654416,"18 Years and older  (Adult, Older Adult)",age_101
1448,NCT04870723,"18 Years and older  (Adult, Older Adult)",age_101
1449,NCT04565067,"18 Years and older  (Adult, Older Adult)",age_101
1452,NCT04632732,"18 Years and older  (Adult, Older Adult)",age_101
1453,NCT04348240,"18 Years and older  (Adult, Older Adult)",age_101
1455,NCT04575532,"18 Years and older  (Adult, Older Adult)",age_101
1458,NCT04351581,"18 Years and older  (Adult, Older Adult)",age_101
1461,NCT04459676,"18 Years and older  (Adult, Older Adult)",age_101
1462,NCT04332913,"18 Years and older  (Adult, Older Adult)",age_101
1463,NCT04939532,"18 Years and older  (Adult, Older Adult)",age_101
1464,NCT04795557,"18 Years and older  (Adult, Older Adult)",age_101
1465,NCT04926779,"18 Years and older  (Adult, Older Adult)",age_101
1466,NCT04323878,"18 Years and older  (Adult, Older Adult)",age_101
1469,NCT04501978,"18 Years and older  (Adult, Older Adult)",age_101
1470,NCT04581863,"18 Years and older  (Adult, Older Adult)",age_101
1471,NCT04613310,"18 Years and older  (Adult, Older Adult)",age_101
1472,NCT04939519,"18 Years and older  (Adult, Older Adult)",age_101
1474,NCT04689711,"18 Years and older  (Adult, Older Adult)",age_101
1475,NCT04343339,"18 Years and older  (Adult, Older Adult)",age_101
1476,NCT04470258,"18 Years and older  (Adult, Older Adult)",age_101
1477,NCT04868448,"18 Years and older  (Adult, Older Adult)",age_101
1479,NCT04353206,"18 Years and older  (Adult, Older Adult)",age_101
1480,NCT04508023,"18 Years and older  (Adult, Older Adult)",age_101
1481,NCT04797858,"18 Years and older  (Adult, Older Adult)",age_101
1482,NCT04716465,"18 Years and older  (Adult, Older Adult)",age_101
1485,NCT04649333,"18 Years and older  (Adult, Older Adult)",age_101
1489,NCT04606069,"18 Years and older  (Adult, Older Adult)",age_101
1492,NCT04832867,"18 Years and older  (Adult, Older Adult)",age_101
1494,NCT04575038,"18 Years and older  (Adult, Older Adult)",age_101
1495,NCT04773665,"18 Years and older  (Adult, Older Adult)",age_101
1497,NCT04715243,"18 Years and older  (Adult, Older Adult)",age_101
1498,NCT04377750,"18 Years and older  (Adult, Older Adult)",age_101
1499,NCT04828538,"18 Years and older  (Adult, Older Adult)",age_101
1500,NCT04358081,"18 Years and older  (Adult, Older Adult)",age_101
1501,NCT04751617,"18 Years and older  (Adult, Older Adult)",age_101
1502,NCT04939415,"18 Years and older  (Adult, Older Adult)",age_101
1508,NCT04771598,"18 Years and older  (Adult, Older Adult)",age_101
1509,NCT04478539,"18 Years and older  (Adult, Older Adult)",age_101
1510,NCT04460703,"18 Years and older  (Adult, Older Adult)",age_101
1512,NCT04817319,"18 Years and older  (Adult, Older Adult)",age_101
1513,NCT04347512,"18 Years and older  (Adult, Older Adult)",age_101
1516,NCT04824495,"18 Years and older  (Adult, Older Adult)",age_101
1517,NCT04841707,"18 Years and older  (Adult, Older Adult)",age_101
1519,NCT04512079,"18 Years and older  (Adult, Older Adult)",age_101
1520,NCT04669925,"18 Years and older  (Adult, Older Adult)",age_101
1521,NCT04353323,"18 Years and older  (Adult, Older Adult)",age_101
1522,NCT04657263,"18 Years and older  (Adult, Older Adult)",age_101
1523,NCT04895189,"18 Years and older  (Adult, Older Adult)",age_101
1524,NCT04537650,"18 Years and older  (Adult, Older Adult)",age_101
1526,NCT04388813,"18 Years and older  (Adult, Older Adult)",age_101
1527,NCT04799652,"18 Years and older  (Adult, Older Adult)",age_101
1528,NCT04979091,"18 Years and older  (Adult, Older Adult)",age_101
1529,NCT04390074,"18 Years and older  (Adult, Older Adult)",age_101
1531,NCT04650087,"18 Years and older  (Adult, Older Adult)",age_101
1533,NCT04422678,"18 Years and older  (Adult, Older Adult)",age_101
1534,NCT04366765,"18 Years and older  (Adult, Older Adult)",age_101
1536,NCT04746521,"18 Years and older  (Adult, Older Adult)",age_101
1537,NCT04473248,"18 Years and older  (Adult, Older Adult)",age_101
1540,NCT04801524,"18 Years and older  (Adult, Older Adult)",age_101
1541,NCT04412382,"18 Years and older  (Adult, Older Adult)",age_101
1542,NCT04813497,"18 Years and older  (Adult, Older Adult)",age_101
1543,NCT04544891,"18 Years and older  (Adult, Older Adult)",age_101
1546,NCT04516486,"18 Years and older  (Adult, Older Adult)",age_101
1548,NCT04355767,"18 Years and older  (Adult, Older Adult)",age_101
1549,NCT04395768,"18 Years and older  (Adult, Older Adult)",age_101
1550,NCT04380376,"18 Years and older  (Adult, Older Adult)",age_101
1551,NCT04412291,"18 Years and older  (Adult, Older Adult)",age_101
1554,NCT04615429,"18 Years and older  (Adult, Older Adult)",age_101
1556,NCT04529460,"18 Years and older  (Adult, Older Adult)",age_101
1557,NCT04721236,"18 Years and older  (Adult, Older Adult)",age_101
1558,NCT04647695,"18 Years and older  (Adult, Older Adult)",age_101
1560,NCT04800965,"18 Years and older  (Adult, Older Adult)",age_101
1561,NCT04803409,"18 Years and older  (Adult, Older Adult)",age_101
1562,NCT04623047,"18 Years and older  (Adult, Older Adult)",age_101
1563,NCT04870333,"18 Years and older  (Adult, Older Adult)",age_101
1564,NCT04723563,"18 Years and older  (Adult, Older Adult)",age_101
1566,NCT04404426,"18 Years and older  (Adult, Older Adult)",age_101
1570,NCT04600895,"18 Years and older  (Adult, Older Adult)",age_101
1576,NCT04542408,"18 Years and older  (Adult, Older Adult)",age_101
1578,NCT04655716,"18 Years and older  (Adult, Older Adult)",age_101
1579,NCT04547660,"18 Years and older  (Adult, Older Adult)",age_101
1580,NCT04353674,"18 Years and older  (Adult, Older Adult)",age_101
1581,NCT04816786,"18 Years and older  (Adult, Older Adult)",age_101
1586,NCT04954222,"18 Years and older  (Adult, Older Adult)",age_101
1588,NCT04634318,"18 Years and older  (Adult, Older Adult)",age_101
1590,NCT04386564,"18 Years and older  (Adult, Older Adult)",age_101
1593,NCT04485338,"18 Years and older  (Adult, Older Adult)",age_101
1594,NCT04843787,"18 Years and older  (Adult, Older Adult)",age_101
1596,NCT04836806,"18 Years and older  (Adult, Older Adult)",age_101
1604,NCT04877808,"18 Years and older  (Adult, Older Adult)",age_101
1605,NCT04728828,"18 Years and older  (Adult, Older Adult)",age_101
1606,NCT04892979,"18 Years and older  (Adult, Older Adult)",age_101
1608,NCT04840966,"18 Years and older  (Adult, Older Adult)",age_101
1609,NCT04766788,"18 Years and older  (Adult, Older Adult)",age_101
1610,NCT04847102,"18 Years and older  (Adult, Older Adult)",age_101
1611,NCT04982263,"18 Years and older  (Adult, Older Adult)",age_101
1613,NCT04424004,"18 Years and older  (Adult, Older Adult)",age_101
1614,NCT04824677,"18 Years and older  (Adult, Older Adult)",age_101
1615,NCT04635241,"18 Years and older  (Adult, Older Adult)",age_101
1616,NCT04629183,"18 Years and older  (Adult, Older Adult)",age_101
1617,NCT04606498,"18 Years and older  (Adult, Older Adult)",age_101
1622,NCT04828135,"18 Years and older  (Adult, Older Adult)",age_101
1624,NCT04524715,"18 Years and older  (Adult, Older Adult)",age_101
1625,NCT04743908,"18 Years and older  (Adult, Older Adult)",age_101
1626,NCT04591613,"18 Years and older  (Adult, Older Adult)",age_101
1627,NCT04523831,"18 Years and older  (Adult, Older Adult)",age_101
1628,NCT04762628,"18 Years and older  (Adult, Older Adult)",age_101
1631,NCT04344730,"18 Years and older  (Adult, Older Adult)",age_101
1632,NCT04575168,"18 Years and older  (Adult, Older Adult)",age_101
1634,NCT04599959,"18 Years and older  (Adult, Older Adult)",age_101
1635,NCT04957940,"18 Years and older  (Adult, Older Adult)",age_101
1636,NCT04502069,"18 Years and older  (Adult, Older Adult)",age_101
1639,NCT04529525,"18 Years and older  (Adult, Older Adult)",age_101
1640,NCT04433325,"18 Years and older  (Adult, Older Adult)",age_101
1643,NCT04355247,"18 Years and older  (Adult, Older Adult)",age_101
1644,NCT04536363,"18 Years and older  (Adult, Older Adult)",age_101
1647,NCT04476602,"18 Years and older  (Adult, Older Adult)",age_101
1648,NCT04827160,"18 Years and older  (Adult, Older Adult)",age_101
1651,NCT04494867,"18 Years and older  (Adult, Older Adult)",age_101
1654,NCT04659707,"18 Years and older  (Adult, Older Adult)",age_101
1655,NCT04631861,"18 Years and older  (Adult, Older Adult)",age_101
1657,NCT04670003,"18 Years and older  (Adult, Older Adult)",age_101
1658,NCT04539795,"18 Years and older  (Adult, Older Adult)",age_101
1661,NCT04847141,"18 Years and older  (Adult, Older Adult)",age_101
1663,NCT04584606,"18 Years and older  (Adult, Older Adult)",age_101
1664,NCT04581928,"18 Years and older  (Adult, Older Adult)",age_101
1665,NCT04643054,"18 Years and older  (Adult, Older Adult)",age_101
1668,NCT04358926,"18 Years and older  (Adult, Older Adult)",age_101
1677,NCT04388527,"18 Years and older  (Adult, Older Adult)",age_101
1679,NCT04793243,"18 Years and older  (Adult, Older Adult)",age_101
1680,NCT04847518,"18 Years and older  (Adult, Older Adult)",age_101
1682,NCT04387292,"18 Years and older  (Adult, Older Adult)",age_101
1686,NCT04497272,"18 Years and older  (Adult, Older Adult)",age_101
1690,NCT04756128,"18 Years and older  (Adult, Older Adult)",age_101
1691,NCT04849585,"18 Years and older  (Adult, Older Adult)",age_101
1692,NCT04801940,"18 Years and older  (Adult, Older Adult)",age_101
1693,NCT04487444,"18 Years and older  (Adult, Older Adult)",age_101
1696,NCT04338828,"18 Years and older  (Adult, Older Adult)",age_101
1697,NCT04912895,"18 Years and older  (Adult, Older Adult)",age_101
1699,NCT04871789,"18 Years and older  (Adult, Older Adult)",age_101
1700,NCT04628208,"18 Years and older  (Adult, Older Adult)",age_101
1703,NCT04786249,"18 Years and older  (Adult, Older Adult)",age_101
1705,NCT04936503,"18 Years and older  (Adult, Older Adult)",age_101
1708,NCT04614948,"18 Years and older  (Adult, Older Adult)",age_101
1709,NCT04576351,"18 Years and older  (Adult, Older Adult)",age_101
1711,NCT04793984,"18 Years and older  (Adult, Older Adult)",age_101
1712,NCT04634799,"18 Years and older  (Adult, Older Adult)",age_101
1713,NCT04636320,"18 Years and older  (Adult, Older Adult)",age_101
1714,NCT04568889,"18 Years and older  (Adult, Older Adult)",age_101
1718,NCT04860284,"18 Years and older  (Adult, Older Adult)",age_101
1719,NCT04643561,"18 Years and older  (Adult, Older Adult)",age_101
1720,NCT04896060,"18 Years and older  (Adult, Older Adult)",age_101
1721,NCT04584450,"18 Years and older  (Adult, Older Adult)",age_101
1722,NCT04828915,"18 Years and older  (Adult, Older Adult)",age_101
1725,NCT04779749,"18 Years and older  (Adult, Older Adult)",age_101
1726,NCT04419571,"18 Years and older  (Adult, Older Adult)",age_101
1727,NCT04386265,"18 Years and older  (Adult, Older Adult)",age_101
1728,NCT04619719,"18 Years and older  (Adult, Older Adult)",age_101
1729,NCT04390477,"18 Years and older  (Adult, Older Adult)",age_101
1735,NCT04960215,"18 Years and older  (Adult, Older Adult)",age_101
1736,NCT04801056,"18 Years and older  (Adult, Older Adult)",age_101
1738,NCT04500626,"18 Years and older  (Adult, Older Adult)",age_101
1743,NCT04780659,"18 Years and older  (Adult, Older Adult)",age_101
1745,NCT04488562,"18 Years and older  (Adult, Older Adult)",age_101
1746,NCT04892797,"18 Years and older  (Adult, Older Adult)",age_101
1747,NCT04479319,"18 Years and older  (Adult, Older Adult)",age_101
1748,NCT04723537,"18 Years and older  (Adult, Older Adult)",age_101
1749,NCT04347538,"18 Years and older  (Adult, Older Adult)",age_101
1750,NCT04469647,"18 Years and older  (Adult, Older Adult)",age_101
1754,NCT04838119,"18 Years and older  (Adult, Older Adult)",age_101
1755,NCT04813939,"18 Years and older  (Adult, Older Adult)",age_101
1758,NCT04910542,"18 Years and older  (Adult, Older Adult)",age_101
1759,NCT04555213,"18 Years and older  (Adult, Older Adult)",age_101
1760,NCT04673214,"18 Years and older  (Adult, Older Adult)",age_101
1761,NCT04338360,"18 Years and older  (Adult, Older Adult)",age_101
1763,NCT04733170,"18 Years and older  (Adult, Older Adult)",age_101
1764,NCT04765449,"18 Years and older  (Adult, Older Adult)",age_101
1766,NCT04526717,"18 Years and older  (Adult, Older Adult)",age_101
1767,NCT04594356,"18 Years and older  (Adult, Older Adult)",age_101
1768,NCT04631536,"18 Years and older  (Adult, Older Adult)",age_101
1769,NCT04767958,"18 Years and older  (Adult, Older Adult)",age_101
1771,NCT04666753,"18 Years and older  (Adult, Older Adult)",age_101
1774,NCT04400058,"18 Years and older  (Adult, Older Adult)",age_101
1777,NCT04898062,"18 Years and older  (Adult, Older Adult)",age_101
1778,NCT04450277,"18 Years and older  (Adult, Older Adult)",age_101
1779,NCT04800120,"18 Years and older  (Adult, Older Adult)",age_101
1780,NCT04374461,"18 Years and older  (Adult, Older Adult)",age_101
1781,NCT04469114,"18 Years and older  (Adult, Older Adult)",age_101
1784,NCT04603690,"18 Years and older  (Adult, Older Adult)",age_101
1785,NCT04391309,"18 Years and older  (Adult, Older Adult)",age_101
1788,NCT04729595,"18 Years and older  (Adult, Older Adult)",age_101
1795,NCT04378777,"18 Years and older  (Adult, Older Adult)",age_101
1800,NCT04689672,"18 Years and older  (Adult, Older Adult)",age_101
1803,NCT04343092,"18 Years and older  (Adult, Older Adult)",age_101
1805,NCT04505774,"18 Years and older  (Adult, Older Adult)",age_101
1806,NCT04418206,"18 Years and older  (Adult, Older Adult)",age_101
1807,NCT04868890,"18 Years and older  (Adult, Older Adult)",age_101
1812,NCT04734223,"18 Years and older  (Adult, Older Adult)",age_101
1813,NCT04506229,"18 Years and older  (Adult, Older Adult)",age_101
1814,NCT04669990,"18 Years and older  (Adult, Older Adult)",age_101
1817,NCT04713852,"18 Years and older  (Adult, Older Adult)",age_101
1818,NCT04880642,"18 Years and older  (Adult, Older Adult)",age_101
1819,NCT04610489,"18 Years and older  (Adult, Older Adult)",age_101
1820,NCT04334252,"18 Years and older  (Adult, Older Adult)",age_101
1823,NCT04770740,"18 Years and older  (Adult, Older Adult)",age_101
1824,NCT04724629,"18 Years and older  (Adult, Older Adult)",age_101
1827,NCT04565392,"18 Years and older  (Adult, Older Adult)",age_101
1828,NCT04703478,"18 Years and older  (Adult, Older Adult)",age_101
1829,NCT04526990,"18 Years and older  (Adult, Older Adult)",age_101
1830,NCT04438070,"18 Years and older  (Adult, Older Adult)",age_101
1834,NCT04570501,"18 Years and older  (Adult, Older Adult)",age_101
1836,NCT04480138,"18 Years and older  (Adult, Older Adult)",age_101
1837,NCT04613297,"18 Years and older  (Adult, Older Adult)",age_101
1839,NCT04542876,"18 Years and older  (Adult, Older Adult)",age_101
1842,NCT04817397,"18 Years and older  (Adult, Older Adult)",age_101
1843,NCT04506268,"18 Years and older  (Adult, Older Adult)",age_101
1844,NCT04325412,"18 Years and older  (Adult, Older Adult)",age_101
1847,NCT04341285,"18 Years and older  (Adult, Older Adult)",age_101
1849,NCT04350320,"18 Years and older  (Adult, Older Adult)",age_101
1850,NCT04840992,"18 Years and older  (Adult, Older Adult)",age_101
1851,NCT04380987,"18 Years and older  (Adult, Older Adult)",age_101
1852,NCT04864015,"18 Years and older  (Adult, Older Adult)",age_101
1853,NCT04733651,"18 Years and older  (Adult, Older Adult)",age_101
1855,NCT04714138,"18 Years and older  (Adult, Older Adult)",age_101
1856,NCT04950803,"18 Years and older  (Adult, Older Adult)",age_101
1857,NCT04466241,"18 Years and older  (Adult, Older Adult)",age_101
1858,NCT04859244,"18 Years and older  (Adult, Older Adult)",age_101
1859,NCT04354584,"18 Years and older  (Adult, Older Adult)",age_101
1860,NCT04909476,"18 Years and older  (Adult, Older Adult)",age_101
1861,NCT04780685,"18 Years and older  (Adult, Older Adult)",age_101
1866,NCT04368221,"18 Years and older  (Adult, Older Adult)",age_101
1867,NCT04708327,"18 Years and older  (Adult, Older Adult)",age_101
1868,NCT04343794,"18 Years and older  (Adult, Older Adult)",age_101
1869,NCT04525911,"18 Years and older  (Adult, Older Adult)",age_101
1875,NCT04591015,"18 Years and older  (Adult, Older Adult)",age_101
1877,NCT04373759,"18 Years and older  (Adult, Older Adult)",age_101
1880,NCT04606784,"18 Years and older  (Adult, Older Adult)",age_101
1883,NCT04832880,"18 Years and older  (Adult, Older Adult)",age_101
1885,NCT04406038,"18 Years and older  (Adult, Older Adult)",age_101
1889,NCT04560855,"18 Years and older  (Adult, Older Adult)",age_101
1890,NCT04409509,"18 Years and older  (Adult, Older Adult)",age_101
1891,NCT04379375,"18 Years and older  (Adult, Older Adult)",age_101
1892,NCT04880161,"18 Years and older  (Adult, Older Adult)",age_101
1893,NCT04542200,"18 Years and older  (Adult, Older Adult)",age_101
1894,NCT04537806,"18 Years and older  (Adult, Older Adult)",age_101
1895,NCT04818463,"18 Years and older  (Adult, Older Adult)",age_101
1897,NCT04372589,"18 Years and older  (Adult, Older Adult)",age_101
1898,NCT04318444,"18 Years and older  (Adult, Older Adult)",age_101
1899,NCT04644185,"18 Years and older  (Adult, Older Adult)",age_101
1907,NCT04462393,"18 Years and older  (Adult, Older Adult)",age_101
1908,NCT04435717,"18 Years and older  (Adult, Older Adult)",age_101
1909,NCT04454398,"18 Years and older  (Adult, Older Adult)",age_101
1911,NCT04357574,"18 Years and older  (Adult, Older Adult)",age_101
1912,NCT04505722,"18 Years and older  (Adult, Older Adult)",age_101
1914,NCT04704388,"18 Years and older  (Adult, Older Adult)",age_101
1920,NCT04596839,"18 Years and older  (Adult, Older Adult)",age_101
1921,NCT04869397,"18 Years and older  (Adult, Older Adult)",age_101
1922,NCT04950725,"18 Years and older  (Adult, Older Adult)",age_101
1924,NCT04903184,"18 Years and older  (Adult, Older Adult)",age_101
1925,NCT04777981,"18 Years and older  (Adult, Older Adult)",age_101
1926,NCT04388670,"18 Years and older  (Adult, Older Adult)",age_101
1927,NCT04498377,"18 Years and older  (Adult, Older Adult)",age_101
1930,NCT04435314,"18 Years and older  (Adult, Older Adult)",age_101
1932,NCT04914377,"18 Years and older  (Adult, Older Adult)",age_101
1936,NCT04502472,"18 Years and older  (Adult, Older Adult)",age_101
1939,NCT04377685,"18 Years and older  (Adult, Older Adult)",age_101
1946,NCT04625738,"18 Years and older  (Adult, Older Adult)",age_101
1947,NCT04366154,"18 Years and older  (Adult, Older Adult)",age_101
1948,NCT04865133,"18 Years and older  (Adult, Older Adult)",age_101
1949,NCT04614883,"18 Years and older  (Adult, Older Adult)",age_101
1950,NCT04683328,"18 Years and older  (Adult, Older Adult)",age_101
1952,NCT04318015,"18 Years and older  (Adult, Older Adult)",age_101
1953,NCT04468139,"18 Years and older  (Adult, Older Adult)",age_101
1955,NCT04522076,"18 Years and older  (Adult, Older Adult)",age_101
1956,NCT04387890,"18 Years and older  (Adult, Older Adult)",age_101
1958,NCT04341038,"18 Years and older  (Adult, Older Adult)",age_101
1960,NCT04558021,"18 Years and older  (Adult, Older Adult)",age_101
1961,NCT04667442,"18 Years and older  (Adult, Older Adult)",age_101
1965,NCT04347239,"18 Years and older  (Adult, Older Adult)",age_101
1968,NCT04383886,"18 Years and older  (Adult, Older Adult)",age_101
1969,NCT04440007,"18 Years and older  (Adult, Older Adult)",age_101
1971,NCT04551768,"18 Years and older  (Adult, Older Adult)",age_101
1972,NCT04403932,"18 Years and older  (Adult, Older Adult)",age_101
1973,NCT04366024,"18 Years and older  (Adult, Older Adult)",age_101
1974,NCT04551781,"18 Years and older  (Adult, Older Adult)",age_101
1975,NCT04930770,"18 Years and older  (Adult, Older Adult)",age_101
1976,NCT04847544,"18 Years and older  (Adult, Older Adult)",age_101
1977,NCT04497246,"18 Years and older  (Adult, Older Adult)",age_101
1981,NCT04884295,"18 Years and older  (Adult, Older Adult)",age_101
1983,NCT04486508,"18 Years and older  (Adult, Older Adult)",age_101
1984,NCT04742946,"18 Years and older  (Adult, Older Adult)",age_101
1986,NCT04416139,"18 Years and older  (Adult, Older Adult)",age_101
1989,NCT04805892,"18 Years and older  (Adult, Older Adult)",age_101
1990,NCT04356677,"18 Years and older  (Adult, Older Adult)",age_101
1991,NCT04646044,"18 Years and older  (Adult, Older Adult)",age_101
1994,NCT04386668,"18 Years and older  (Adult, Older Adult)",age_101
1996,NCT04423861,"18 Years and older  (Adult, Older Adult)",age_101
1997,NCT04545541,"18 Years and older  (Adult, Older Adult)",age_101
2001,NCT04752085,"18 Years and older  (Adult, Older Adult)",age_101
2002,NCT04568876,"18 Years and older  (Adult, Older Adult)",age_101
2004,NCT04952805,"18 Years and older  (Adult, Older Adult)",age_101
2005,NCT04338568,"18 Years and older  (Adult, Older Adult)",age_101
2007,NCT04445220,"18 Years and older  (Adult, Older Adult)",age_101
2008,NCT04377997,"18 Years and older  (Adult, Older Adult)",age_101
2011,NCT04930120,"18 Years and older  (Adult, Older Adult)",age_101
2012,NCT04375709,"18 Years and older  (Adult, Older Adult)",age_101
2013,NCT04445493,"18 Years and older  (Adult, Older Adult)",age_101
2014,NCT04474288,"18 Years and older  (Adult, Older Adult)",age_101
2015,NCT04886362,"18 Years and older  (Adult, Older Adult)",age_101
2017,NCT04348474,"18 Years and older  (Adult, Older Adult)",age_101
2020,NCT04380714,"18 Years and older  (Adult, Older Adult)",age_101
2021,NCT04583410,"18 Years and older  (Adult, Older Adult)",age_101
2022,NCT04784689,"18 Years and older  (Adult, Older Adult)",age_101
2023,NCT04894266,"18 Years and older  (Adult, Older Adult)",age_101
2024,NCT04537208,"18 Years and older  (Adult, Older Adult)",age_101
2033,NCT04438837,"18 Years and older  (Adult, Older Adult)",age_101
2035,NCT04603677,"18 Years and older  (Adult, Older Adult)",age_101
2037,NCT04482361,"18 Years and older  (Adult, Older Adult)",age_101
2038,NCT04349202,"18 Years and older  (Adult, Older Adult)",age_101
2039,NCT04403880,"18 Years and older  (Adult, Older Adult)",age_101
2040,NCT04907994,"18 Years and older  (Adult, Older Adult)",age_101
2041,NCT04451317,"18 Years and older  (Adult, Older Adult)",age_101
2042,NCT04854837,"18 Years and older  (Adult, Older Adult)",age_101
2043,NCT04563156,"18 Years and older  (Adult, Older Adult)",age_101
2045,NCT04622826,"18 Years and older  (Adult, Older Adult)",age_101
2046,NCT04535063,"18 Years and older  (Adult, Older Adult)",age_101
2048,NCT04528901,"18 Years and older  (Adult, Older Adult)",age_101
2051,NCT04350580,"18 Years and older  (Adult, Older Adult)",age_101
2052,NCT04700163,"18 Years and older  (Adult, Older Adult)",age_101
2056,NCT04724538,"18 Years and older  (Adult, Older Adult)",age_101
2059,NCT04481685,"18 Years and older  (Adult, Older Adult)",age_101
2064,NCT04762680,"18 Years and older  (Adult, Older Adult)",age_101
2065,NCT04495816,"18 Years and older  (Adult, Older Adult)",age_101
2067,NCT04400032,"18 Years and older  (Adult, Older Adult)",age_101
2069,NCT04569227,"18 Years and older  (Adult, Older Adult)",age_101
2072,NCT04366141,"18 Years and older  (Adult, Older Adult)",age_101
2073,NCT04416438,"18 Years and older  (Adult, Older Adult)",age_101
2077,NCT04898946,"18 Years and older  (Adult, Older Adult)",age_101
2078,NCT04668911,"18 Years and older  (Adult, Older Adult)",age_101
2079,NCT04706260,"18 Years and older  (Adult, Older Adult)",age_101
2081,NCT04383535,"18 Years and older  (Adult, Older Adult)",age_101
2085,NCT04728698,"18 Years and older  (Adult, Older Adult)",age_101
2086,NCT04981392,"18 Years and older  (Adult, Older Adult)",age_101
2087,NCT04982068,"18 Years and older  (Adult, Older Adult)",age_101
2088,NCT04477083,"18 Years and older  (Adult, Older Adult)",age_101
2094,NCT04954131,"18 Years and older  (Adult, Older Adult)",age_101
2097,NCT04730401,"18 Years and older  (Adult, Older Adult)",age_101
2100,NCT04394793,"18 Years and older  (Adult, Older Adult)",age_101
2101,NCT04521322,"18 Years and older  (Adult, Older Adult)",age_101
2103,NCT04753619,"18 Years and older  (Adult, Older Adult)",age_101
2105,NCT04366232,"18 Years and older  (Adult, Older Adult)",age_101
2106,NCT04338009,"18 Years and older  (Adult, Older Adult)",age_101
2107,NCT04524520,"18 Years and older  (Adult, Older Adult)",age_101
2109,NCT04980560,"18 Years and older  (Adult, Older Adult)",age_101
2111,NCT04956913,"18 Years and older  (Adult, Older Adult)",age_101
2114,NCT04743011,"18 Years and older  (Adult, Older Adult)",age_101
2115,NCT04342663,"18 Years and older  (Adult, Older Adult)",age_101
2117,NCT04405466,"18 Years and older  (Adult, Older Adult)",age_101
2119,NCT04608266,"18 Years and older  (Adult, Older Adult)",age_101
2120,NCT04824222,"18 Years and older  (Adult, Older Adult)",age_101
2121,NCT04780126,"18 Years and older  (Adult, Older Adult)",age_101
2122,NCT04507282,"18 Years and older  (Adult, Older Adult)",age_101
2127,NCT04587375,"18 Years and older  (Adult, Older Adult)",age_101
2132,NCT04874740,"18 Years and older  (Adult, Older Adult)",age_101
2133,NCT04703140,"18 Years and older  (Adult, Older Adult)",age_101
2135,NCT04497389,"18 Years and older  (Adult, Older Adult)",age_101
2136,NCT04791072,"18 Years and older  (Adult, Older Adult)",age_101
2137,NCT04952402,"18 Years and older  (Adult, Older Adult)",age_101
2139,NCT04540926,"18 Years and older  (Adult, Older Adult)",age_101
2140,NCT04632355,"18 Years and older  (Adult, Older Adult)",age_101
2142,NCT04668222,"18 Years and older  (Adult, Older Adult)",age_101
